,commentIds,comments
20,FDA-2009-N-0294-0281,"With many states receiving funds from tobacco companies I think it's time to have the states dedicate these funds to at least the CDC minimum to tobacco control programs that are proven to work. The FDA should meet with the states and see if some kind of solution can be worked out regarding this funding issue. Massachusetts as an example received $844 million in FY09 in tobacco funds from taxes and the Master Settlement but only gave $5 million to tobacco control for the whole state for FY10, less than one percent! The FDA has to look at why money that should be going to programs that help people go to fund state projects that have nothing to do with tobacco. The FDA also must look at why cigars and blunt wraps are not taxed like other tobacco considering with the increase in prices and the various flavors it's one of the cheapest ways to smoke. Cheap prices and various flavors equals an almost automatic attraction to children who might otherwise not be attracted to a traditional cigarettes or cigars. If the FDA had cigars and blunt wraps designated how they should be which is a tobacco product just like cigarettes and taxed as such the number of children who will try these products would drop dramatically."
21,FDA-2009-N-0294-0510,PMA Comments
22,TTB-2010-0004-0144,"I am responding to the news that there may be a hike in the price of pipe tobacco. This is another outrageous overage in taxiation by our government being perpatrated against the smokers of this country. The cost of cigarettes in general, for some brands, has already tripled in less then two years. Now you want to talk about raising costs again against another form of tobacco? If this is done I truly believe there will be a lot of politicians out of work. We are tired of being treated as criminals and having the burden of taxation lying on our doorstep. We will all come together either sooner or later to fight against this taking place. There are enough true luxery items out in the world to lay this burden on. How about the government stop spending so much and doing away with the taxes?  DO NOT raise taxes!"
24,FDA-2015-N-1514-0242,Comments submitted on behalf of the American Association for Cancer Research (AACR) and American Society of Clinical Oncology (ASCO). 
25,FDA-2012-D-0071-0864,"please don't test tabacco on rats or any other animals, we already tobacco smoke is bad."
27,FDA-2012-D-0071-0557,"Please stop using animals to test tobacco products. There is no reason for an animal to suffer for the sake of scientific experiments, especially when there are other methods to test products available. "
28,FDA-2013-N-0521-0301,See attached file(s)
29,TTB-2010-0004-0076,"Rather than continuing to increase the tax burden on the American people, and to continually attack our personal freedoms, why not cut some of the more un-necessary and, frankly, ridiculous programs which Americans are currently being forced to pay for, whether we want these programs or not.It is a well-documented fact that increasing taxes provides less overall income to the federal government. It is also well-documented fact that descreasing taxes not only improves the country's morale, but encourages business owners to invest in more employees, more equipment, and again, is proven to provide a greater amount of tax revenue to the federal government.There are currently far too many un-necessary and unproductive programs in place. Eliminating these programs would not only increase the money available for more sensible programs, but would show our Nations creditors that we are serious about eliminating our Nations un-sustainable debt.Another money saving tactic (which would also increase the goodwill between government and the American people) would be eliminate the insulting pay raises that government is constantly approving for itself - raising their own salaries at a time when it cannot be afforded and while the American people are suffering.The answer for our Nations debt is fiscal responsibility - not applying further business and morale damaging regulations and taxes.The American people are required to live within our means - it is high time that the American Government do the same."
32,FDA-2009-N-0294-0181,"I'm writing to state that the FDA regulation of tobacco is a great step forward in protecting children and future generations, from Big Tobacco. I look forward to your agency vigorously  tackling this responsibility with vigor.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely,(your name)"
33,FDA-2012-D-0071-0184,"Doc ID FDA 2012-D 0071-0001 Modified Risk Tobacco Product Application... I am sickened that animals suffer in the sake of tobacco, please be sure necessary modification are made to ensure that animals do not suffer or die for testing o any type in the name of tobacco.  In this day and age I had hope that we have more integrity that to force such useless trauma. "
34,FDA-2012-D-0071-0730,How very stupid that we would subject these animals to one of our dirty habits.
35,FDA-2012-D-0071-1732,"PLEASE DO NOT ALLOW ANIMAL TESTING IN THE FDA'S RESEARCH ON TOBACCO SMOKE!Please do not include animal testing for research.  Animals are not human.  It would be ridiculous to test on animals in this era, where modern technology exists, and is used in other countries.  And to think it is to research on a living creature who suffers as we do on a subject such as the affects of tobacco smoke!  "
36,FDA-2013-N-0521-0371,See attached file(s)
37,FDA-2009-N-0294-0381,"To Whom it May Concern:As a concerned anti-tobacco public health advocate I would like to encourage FDA leaders to take the proper and totally appropriate steps to assert jurisdiction/authority over cigars, little cigars, pipes, hookah, and other tobacco products--as these are still harmful and increasingly marketed to/and used by teens and children, young adults.  I also feel strongly that FDA take the CDC's OSH's suggestion without delay to exercise authority over mentholated cigarettes, which have historically been strongly marketed to African Americans specifically (as well as Hispanic/Latino populations), to keep them addicted. This is an example of despicable industry manipulation and deceit, which is nothing less than black discrimination in its most ugly form. If we care about unfair marketing practices to our youth and children, shouldn't we also care about unfair marketing practices targeting our disparate populations and their future? In addition I urge FDA to maintain the strength of the legislation by fighting for the provision of no tobacco products advertising within 1000 ft (at least 500ft) of schools, playgrounds, or parks.  Finally, I express my disappointment that non-voting executives from Phillip Morris are sitting on the scientific advisory committee.  This seems to me such a breach of confidence and so wrong to the people of the United States that this historically, deceitful tobacco industry would be admitted this completely inappropriate privilege.  What other industry in fairness has been offered the same inappropriate privilege while they are being regulated? It leads me to have the deepest doubt that the FDA regulation efforts will ever come to any significant good, and makes it very  hard for me to feel any confidence or trust in any real strength of this regulation. I hope public and government outcry to this breach of confidence, will reverse the ability for PM to stay on.Why was this privilege extended to PM and not others?"
38,FDA-2012-D-0071-0664,No Animal Testing for Tobacco Products 
39,FDA-2011-N-0271-0022,See attached file(s)
41,FDA-2019-D-4188-0013,"Please see attached PDF file for our comment.Comment on Docket - FDA-2019-D-4188Tobacco Products: Principles for Designing and Conducting Tobacco Product Perception and Intention StudiesAuthors:Alok Amraotkar MD, MPH, MHA1, Alyssa Harlow, MPH1, Ellen Boakye, MD, MPH1, Lexiao Jin, MD, PhD1, Cory Kucera, MSc1, Olufunmilayo Obisesan, MD, MPH1, Ugochukwu Owolabi, MD, MPH1, S. M. Iftekhar Uddin, MBBS, MPH1, Jiaxi Wu, MA11Fellow, American Heart Association (AHA) Tobacco Regulation and Addiction Center (ATRAC)"
42,FDA-2012-D-0071-0853,Absolutely disgusting. I thought we lived in the 21st century? When are people going to wake up? This kind of testing on animals should be banned!!!
45,FDA-2013-N-0521-0139,North Carolina Legislative Black Caucus - Comment
46,FDA-2012-D-0071-1224,"It is simply disgusting that the tobacco industry is still using animals for their testing, when there are more humane methods available.  Please stop torturing animals and revise your recommendations so that no animals are used in testing."
47,FDA-2012-D-0071-1079,This is an abuse that needs to stop.
48,FDA-2009-N-0294-0054,"The public is becoming aware that nicotine has many major health benefits despite the fact that public health officials say otherwise.  There is nicotine in potatoes, tomatoes, cauliflower, broccoli, and many other foods.  It is simply not true the claims of death from second hand smoke, nor has any death ever been truly attributed to smoking.  This is a fallacy brought about by the massive amounts of money spent by the Robert Wood Johnson Foundation, a major shareholder of Johnson & Johnson, makers of smoking cessation products, Nicoderm and Nicorette.  These two products are responsible for a plethora of adverse health complications and should never have been put on the market!  This does not give the FDA much credibility, to say the least.  The FDA MUST become accountable factually to the public instead of acting on behalf of big pharma and governmental lobbyists!  Smokers have become the latest minority group discriminated against, much like black people once were by socially engineered propoganda and lies.  There is absolutely NO evidence other than the paid for meta-analysis studies put forth by those with a profit to be made pushing their own nicotine products.  The public is bombarded with advertisements for things they can't even get without asking a doctor for, and physicians are getting quite fed up with this also.  The pharmaceutical companies say these ads are educational, I say they are intrusive.  This is the industry that the FDA needs to further regulate, not the freedom of individuals to choose a product like tobacco that's been around for centuries!"
49,FDA-2013-N-0521-0170,Sunrise - Comment
51,FDA-2013-N-0521-0189,"The Honorable Clark S. Barnes, Senate of West Virgina - Comment"
52,FDA-2009-D-0524-0003,Please find our comments in the attached PDF
54,FDA-2011-N-0467-0024,"Document ID: FDA-2011-N-0467-0001Please do not make it so people cannot purchase electronic cigarettes (e-cigs) via internet sales.  I use one, and have not lit a tobacco cigarette since Jan of 2009.  If I am unable to obtain kits or parts by mail, I will be in big trouble health-wise because there are no locations I know of within at least 100 miles of my residence in Calaveras County, CA. that even sell e-cigs.Online retailers make every effort to be sure they do not sell to minors. Just the fact that a credit card is required for purchase prevents most minors from purchasing e-cigs because most minors do not have credit cards, and if they do, they have to answer to their parents about each and every charge they make.I am disabled.  I do not want to smoke another cigarette. Ever.  If I cannot purchase online, I will have to try patches or gum, which have not worked for me in the past, and I fear I would end up purchasing cigarettes.  Please do not put me in the position of having to give up nicotine, which helps my brain to function, or go back to smoking.I beg you to continue to allow the online purchase of e-cig kits and parts so I can stay off tobacco cigarettes.I also fear this could create a black market, which is not your intent.Many people who use e-cigs are disabled and unable to travel long distances to obtain their e-cigs.Studies have show that very few minors use e-cigs because of the initial cost outlay and the hassles of maintenance.  The majority of e-cig users are over 30.Please keep e-cigs available by internet or mail order for the thousands (if not millions, by now) of e-cig users.Respectfully submitted,"
55,FDA-2012-D-0071-0142,Please stop the cruel use of animals to test tobacco products.  Don't we already know tobacco is deadly?  Why subject defenseless animals to abuse in an effort to fine tune findings.  It doesn't make sense.  Thank you.
56,FDA-2012-D-0071-1551,Please choose non-animal  methods of testing tobacco products and cigarette smoke.  Animals do not need to suffer and die to prove that smoking is harmful.  There is certainly enough evidence to that effect.  Animal  testing is not accurate for human health conditions and alternate methods are readily available. Please stop the needless suffering of animals.  I
57,FDA-2012-D-0071-1825,"I don't think it's a bad idea to reduce nicotine levels in cigarettes, but please consider doing so incrementally. The sudden reduction of 97 percent could cause withdrawal symptoms and weight gain. There is a more sensible way to schedule this reduction over time. "
58,FDA-2012-D-0071-0252,"Dear,   U.S. Food and Drug Administration.  I am writing you because I would like you to please stop these cruel and inhumane testing of tobacco products on animals.   These rats and any animals should not be jammed into tiny canisters and forced to breathe concentrated cigarette smoke for as long as six hours a day for months at a time.There are other alternatives and the government insist on testing on animals.  We are in a time where we have the technology and here animals are still being tested on, what kind of people can do this to these animals.   No animal deserves this treatment.  Times have changed and animal experimentation must end all together.Thank you."
60,FDA-2012-D-0071-0404,This is horrible cruel and unnecessary animal testing.  By now everyone in the civillized world knows what happens when you smoke.  The experiments are unwarrented torture. 
61,FDA-2012-D-0071-1282,"For decades, the tobacco industry used results from these misleading animal tests to deny the link between smoking and cancer because animals forced to inhale cigarette smoke don't develop the same diseases that human smokers do.Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods.We need to tell the FDA loudly and clearly that no more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed!Please exercise your right as a U.S. citizen to submit a polite comment to the FDA urging it to remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing."
62,FDA-2012-D-0071-1437,"To whom it may concern,Please word this document in a way that doesn't allow any animals to be used/experimented on.  The risks of tobacco use have already been proven, without a doubt.  There is no need to subject innocent animals to experiments for any reason.  It is unethical and morally corrupt.  If need be, study information that is already known or use human volunteers to further scientific knowledge.  Animals are NOT ours to use for our welfare.  They have every right to humane handling, just like humans.  Please respect the dignity and worth of every living being on our planet.  It is the only hope for improved quality of life on earth.  Thank you for taking my comment.  sincerely yours, Diana Chapin-Tsai & Dr. Leon Tsai"
63,FDA-2012-D-0071-0027,"I am asking that you please stop using any animals for the tobacco testing that is out of date, harmful to animals and inaccruate.   Believe me there are plenty of people that would probably sign up for this gig. Let's get with the times and leave the animals out of the testing - what is the point?Thank you for your time."
64,FDA-2012-D-0071-0930,this is awful. Pure evil doing that to little defenceless animals. So sad that people think this is okay
65,FDA-2009-N-0294-0250,"To the FDAYou helped make this new law possible, through more than 10 years of grassroots campaigning alongside other Corporate Accountability International members and coalition partners. But it includes a dangerous loophole: allowing for tobacco industry representation on an FDA Scientific Advisory Committee, a measure that is inconsistent with the global tobacco treaty. Please implement the law in ways that pave the road for the U.S. to join the global tobacco treaty."
66,FDA-2012-D-0071-1176,"To keep it short and simple, stuffing poor, innocent rats into tight canisters in not only wrong but immoral. All animals are important and do NOT deserve to be hurt in any way. I hope that you will stop stuffing rats into small canisters and killing them with tobacco smoke."
67,FDA-2012-D-0071-0927,"This is an urgent message for the FDA. I was dismayed to hear how animals are treated when products are tested on them. Animals should not suffer and die for these archaic, inaccurate, and inhumane tests. I urge the FDA to remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing. Thank you"
68,FDA-2012-D-0071-1725,Please remove any language recommending or allowing animal tests from the proposed draft guidance on tobacco product testing. It is cruel and only kills the animals used in testing. Humans do not need to smoke and using helpless animals as test subjects is unacceptable.
69,FDA-2012-D-0071-0719,"Dear Srs. PLEASE remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing.Its inhumane , its cruelty, ist a shame. Let humanes kill themselves without animal tests on tobacco!!!!!!!!Thank you!Ing. WolfPLEAS "
70,FDA-2012-D-0071-0633,Absolutely disgusting that methods like this are still used
71,FDA-2012-D-0071-1675,"stop the experiments on helpless animals. If yu want test your products, test them on yourself"
72,FDA-2012-D-0071-1528,"Dear Decision-Makers,We fervently request that you remove any language recommending or allowing animal tests from the draft guidance on tobacco product testing!These tests are cruel, archaic, and unreliable methods that unnecessarily kill animals!  Please end the use of animals in testing for tobacco products!Thank you!"
73,TTB-2010-0004-0133,"  My husband smokes a pipe and some times rolls his own. I like his pipe and would not like to  see the price go up. We do not have much money and any increase would deny him a pleasure he enjoys. There is not much that does that anymore.  Thank you, Bonnie Bush"
75,FDA-2013-N-0521-0461,"Please find attached comments re: Docket No. FDA-2013-N-0521 from the Coalition for a Tobacco-Free Hawaii.  Members of the Coalition who have signed onto the letter include: Hawaii State Department of Health, University of Hawaii Cancer Center, and REAL youth movement (in addition to the Coalition for a Tobacco-Free Hawaii)."
76,FDA-2012-D-0071-0616,Please remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing.
79,FDA-2012-D-0071-1301,Testing tobacco products on animals should stop because it will not change how the effects of using tobacco effects humans.  This is cruel treatment that serves no purpose.  Please consider other methods of testing.  Thank you.
81,FDA-2012-D-0071-1249,Do not test tobacco on animals. Its cruel. Its saddens me every day to reed about animal testing and the terrible food industry in the united states. 
83,FDA-2013-N-0521-0115,na
90,FDA-2009-N-0294-0331,Please see attached document.
91,FDA-2012-D-0071-0798,I have  just learned about testing for tobacco risk.   Can't you find another way to WASTE tax money?  Tobacco has already been demonstrated as a health hazzard.  STOP WASTEING TAX MONEY ON TESTS WITH ANIMALS.  Use humans for tests which are for human's benefit.  
92,FDA-2009-N-0294-0396,"This June President Obama signed landmark legislation authorizing FDA to regulate the tobacco industry. Unfortunately, this legislation gives the industry a seat at the table, THIS IS A CLEAR CONFLICT OF INTEREST. Please insure that your regulation of tobacco is NOT influenced by the industry."
93,FDA-2012-D-0071-1507,Why do we have to test for Tobacco??? Even a child knows it's toxic to everyone. So why do we force the animal to suffer for the bad result we already knows?? 
94,FDA-2012-D-0071-1771,"I am writing to urge you to eliminate all wording in the draft guidance document Modified Risk Tobacco Product Applications that would allow the tobacco industry to conduct animal tests. I am a secondary Anatomy & Physiology teacher deeply concerned about the public health consequences of this guidance.  Human population studies, clinical intervention trials, and human-based cellular studies should remain the foundation of tobacco research rather than animal studies.Animal studies were initially used to deny the smoking-lung cancer link. But decades of human epidemiology studies prove this link and other devastating effects tobacco has on human health. The Institute of Medicine says that it is not possible to make laboratory animals use tobacco products the way humans do, and there are inherent interspecies differences that prevent meaningful extrapolation of effects to humans.The self-addiction studies that FDA recommends be performed in animals, such as “place preference,” “drug discrimination,” and “self-administration” studies, are not only cruel, but tenuously linked to human behavior."
95,FDA-2013-N-0521-0113,
96,FDA-2012-D-0071-0541,"I am writing to express my concerns regarding the welfare of animals used in tobacco research. I do  not understand why, at this point in history, we even need further research into the physical hazards of tobacco use. It causes lung disease, cancer, poor immunity, and pollutes the air of non-smokers. Please consider more humane and ethical options for testing, such as computer models or even perhaps willing human participants already suffering the ills of their addiction. Thank you."
97,TTB-2009-0002-0022,Please see attached letter.
98,TTB-2010-0004-0171,"See the attached comment letter, which was hand-delivered to TTB headquarters on October 24, 2011."
99,FDA-2012-D-0071-0213,Please STOP cruel tobacco testing on animals!! 
100,FDA-2009-N-0294-0223,Please close any loopholes that allow tobacco to bypass their responsibilities to the people they make sick. I work in elder care and I see the devistation tobacco causes to people. If tobacco was eithor outlawed or regulated I would run out of work. Please put out of work.
102,FDA-2009-D-0508-0004,"Draft Guidance for Industry on Registration and Product Listing for Owners and Operators of Domestic Tobacco Product Establishments; Request for Comments, Docket No. FDA-2009-D-0508."
104,TTB-2009-0002-0006,"Comment regarding Notice No. 95 filed on behalf of John Middleton, Co., maker of pipe tobacco and cigars, by its counsel, Harold N. Bynum of the Smith Moore Leatherwood law firm in Greensboro, NC."
105,FDA-2012-D-0071-1126,please stop the torture
107,FDA-2011-N-0467-0103,Comments in response to request for information on non-face-to-face sale and distribution of tobacco products.
108,FDA-2012-D-0071-0262,"Tobacco kills enough humans on a yearly basis already.  Why must we continue the torture of voiceless, defenseless animals when we already KNOW tobacco and its additives KILL MILLIONS of people annually.  Please remove any language recommending or allowing animal testing on draft guidance of tobacco product testing."
112,FDA-2012-D-0071-0513,Please stop tobacco testing on animals immediately!
114,FDA-2012-D-0071-0446,STOP the tobacco testing on animals. We KNOW it kills!
117,FDA-2012-D-0071-1382,..
119,FDA-2012-D-0071-0196,"Hello, I am urging that any language recommending, or allowing for animal testing be removed from the draft guidance on tobacco product testing.The cruelty to animals that it could impose is shocking and  unacceptable in a nation that considers itself developed. And it does not even prove accurate for the real effect of tobacco on humans.Please follow suite in recommending safe and non-animal, modern methods for testing of tobacco products as exemplified by Belgium, Germany, the U.K., and other countries who have banned the testing of tobacco products on animals. Sincerely, Claire Delevingne"
120,FDA-2012-D-0071-0588,Please remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing.
121,FDA-2012-D-0071-0599,"We need to tell the FDA loudly and clearly that no more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed!Please exercise your right as a U.S. citizen to submit a polite comment to the FDA urging it to remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing."
124,FDA-2013-N-0521-0179,Papa's Cache Sabrasa - Comment
125,FDA-2012-D-0071-0942,"My wife and I are writing to you today to urge you to please remove any language recommending or allowing animal tests from the draft guidance on tobacco product testing.These deadly tests are included in the guidance even though they are irrelevant to human smokers and there are more modern and accurate non-animal methods available, such as computer simulation, tests using human cells, and clinical studies with human smokers.We are both strongly opposed to animal testing for tobacco products, and want to thank you for your attention to this important issue!!Respectfully,Ken and Jan Livingston"
126,FDA-2012-D-0071-0047,"Please do not allow tobacco products to be tested on animals.  The testing is cruel, and irrelevant.  "
128,FDA-2012-D-0071-0004,"When I first became interested in using and e-cigarette, thanks to the internet I found the e-cigarette-forum.com and from there I found casaa.org that is where I was able to inform myself and educate myself by reading what other ex smokers were sharing to help others like myself find freedom from the death warrant that smoking real cigarettes are.  There is so much valuable truthful facts and information available and to date no real data that scientifically proves that e-cigarettes are a danger.  They are a modern miracle, like so many advances in so many areas we have come to appreciate in just under 200 years on the planet earth.  Turn on the light bulb only two hundred years old, and join the new age!  Addiction is not a crime and nicotine is by far the least dangerous of all drugs, it is on par with caffeine according to scientific studies.  Some studies are pointing to scientifically proven health benefits from nicotine.  Smoker's who are finding a satisfying alternative to nicotine delivery are able to educated ourselves, we know full well that money talks, you don't have to be a rocket scientist to figure out, who stands to profit from bills such as:There are still millions of Americans smoking,  they work and pay taxes, cast their votes elect politicians into office, they deserve the availability and freedom to choose vaping instead of smoking which is proven to be a better quality life!  Without the shame that smoking has rightly earned!http://wivapers.blogspot.com/2012/02/sweet-deal-between-big-pharma-and-big.html?showComment=1330367716627#c4078397574623244619Sincerely,Lisa Bell "
130,FDA-2013-N-0521-0465,"November 6, 2013To the Center for Tobacco Products:We, the members of the Colorado Department of Public Health and the Environment’s Tobacco Review Committee, are writing to strongly advise the FDA Center for Tobacco Products to exercise its regulatory authority and ban the use of menthol in all tobacco products. Menthol is an anesthetic which numbs the mouth and throat and allows people to more comfortably inhale the burning acrid toxic smoke from cigarettes. The mint flavor also covers up the unappealing flavor of natural tobacco. Menthol is also used in other tobacco products, such as chewing tobacco, to make ingestion more palatable; this encourages use, and eventually, addiction to nicotine.Menthol disproportionally affects young and disadvantaged populations. Teenagers in particular are more likely to smoke menthol cigarettes, and when they do, they are more likely to become regular smokers. Menthol cigarettes are also used more frequently in socio-economically disadvantaged populations, and cigarettes containing menthol are associated with a decreased cessation success. African-Americans use menthol cigarettes more often than those of other races/ethnicities, and, in fact, according to a recent article in the American Journal of Public Health (Winickoff, 2011), African-Americans overwhelmingly support a ban on menthol in cigarettes. Tobacco companies are encouraging their constituents to argue that banning menthol would cost states financially in cigarette tax revenue. As a group whose mission relies on state tobacco tax dollars to fund the programs that we review, we would gladly accept a smaller pool of funds if that meant fewer smokers in Colorado, and a healthier public. In addition, the cost of lower tax revenue and increased enforcement will most likely be offset by the savings to the state in healthcare and other tobacco-related costs.Banning menthol in tobacco products will help us by:-Reducing adolescent smoking initiation-Decreasing smoking among socioeconomically disadvantaged populations-Increasing the rate of smoking cessation among African-Americans-Reducing the overall smoking rate in the State of Colorado-Reducing tobacco-related death and disease for all ColoradansPlease take this opportunity to provide strong leadership in the regulation of tobacco products by banning menthol in all tobacco products.Sincerely,Karen Wilson, MD, MPHChildren’s Hospital ColoradoStatewide Tobacco Control NonprofitReview Committee ChairPamela Talley, MDWardenburg Health Center at CUFamily Physician AssociationReview Committee Vice-ChairJoseph Craig, MDColorado Permanente Medical GroupStatewide Physician AssociationReview Committee MemberKathy James, PhD, MSCEColorado School of Public HealthUniversity of Colorado/EvaluationReview Committee MemberKathleen Patrick, RN, MAColorado Department of EducationReview Committee MemberJennifer LudwigEagle County Public HealthLocal Public Health AgenciesReview Committee MemberDaniel Kortsch, MDDenver Health and HospitalsDisadvantaged PopulationsReview Committee MemberDave YoungState House of RepresentativesReview Committee Member"
131,FDA-2012-D-0071-1086,This is sickening and maddening.  Please stop these type of tests immediately.  
132,FDA-2015-N-1514-0204,"I am in the insurance business, life and health. I strongly feel that the e-cigarettes DO make a big difference in people's lives. Mainly the lack of 3-4,000 chemicals. The liquid, the way I understand it, is fairly non toxic. Of course, not putting it in your eye and using common sense. These products are NOT for kids, and I agree they should not be sold to minors. But in the adult world it is a much better option. I would ask you to leave this industry be as it is. So many things are heavily regulated these days and I understand the compliance issues. But my argument is, they are helping folks, so what's the harm. "
133,TTB-2010-0004-0010,"Attached are the comments submitted on behalf of the Pipe Tobacco Council Inc., in response to Notice No. 106 published by the “TTB in the Federal Register of July 22, 2110 (75 FR 42659)."
134,FDA-2012-D-0071-0642,"Smokers will go on dying but at least ban to also kill animals at lethal experiments with substances they´ll never consume. This is unreasonable, anachronic and unacceptable.Please ban the use of animals for smoke tests."
135,FDA-2012-D-0071-0501,We know the dangers of tobacco.  Please stop testing it on animals.  This has been done for decades and is now a waste of tax dollars.
136,FDA-2012-D-0071-0216,"To whom it may concern,I was reading a horrible article about the testing of animals and tobacco.  Please consider not using animals for testing.  Animals should not suffer for something that we have already found to be deadly. Many countries have already banned the testing of tobacco products on animals. I am asking you to please take the time to think about how these animals will be treated for the use of testing tobacco and to consider taking a different path, one that will not allow animals to suffer.  Thank you for taking the time to read this important message.Angela"
137,FDA-2012-D-0071-0695,  It is cruel and unnecessary to keep performing tobacco testing on mice and rats when those animals do not respond to tobacco use in the same way humans do. This animal testing is superfluous and will provide no new information.  Why continue killing animals for inaccurate information?
139,FDA-2009-N-0294-0322,
140,FDA-2012-D-0071-0400,Are you kidding me? Who in there right mind would ever think of doing this to another living thing? Come on now people.
141,TTB-2010-0004-0125,I am against re classifying pipe tobacco and would like the present method to remain in place. Changing the current method would cause me to pay more for my addiction to smoking.
142,FDA-2012-D-0071-1298,"I find the methods of testing on animals for tobacco products disgusting and deplorable.  Human bodies are not the same as a rodent, cat,  dog or any other animal. Forcing animals to breath to breathe concentrated tobacco smoke will in no way prove beneficial to humans."
143,FDA-2012-D-0071-0669,Please do not experiment on animals
145,FDA-2017-N-4678-0037,"Comment (corrected) from Eric Lindblom, Director, Tobacco Control and Food & Drug Law, O'Neill Institute for National & Global Health Law, Georgetown Law, Washington, DC 20001, Modified Risk Tobacco Product Applications for Six Camel Snus Smokeless Tobacco Products Submitted by R.J. Reynolds Tobacco Company."
146,FDA-2012-D-0071-0179,As usual the US is behind so many other countries in terms of education and science.  Wake up.  Our economy is crumbling.  We are still usuing outdated methods.  Try new non animal methods and create jobs 
147,TTB-2009-0002-0011,Please see the attached comments.
